name,short_name,symbol,exchange,fractional
iShares S&P 500 Information Technology Sector UCITS ETF,iShares S&P 500 Information Technology Sector,,London Stock Exchange,True
Virgin Money UK plc,Virgin Money,VMUK,London Stock Exchange,True
3M Company,3M,MMM,NYSE,True
Legal & General Group PLC,Legal & General Group,LGEN,London Stock Exchange,True
Luckin Coffee Inc.,Luckin Coffee,LK,NASDAQ,True
"Norwegian Cruise Line Holdings, Ltd.",Norwegian Cruise Line,NCLH,NYSE,False
CVS Health Corporation,CVS Health,CVS,NYSE,True
"Livongo Health, Inc.",Livongo,LVGO,NASDAQ,True
LVMH Louis Vuitton Moet Hennessy SE,LVMH,MC,Euronext Paris,True
Next PLC,Next,NXT,London Stock Exchange,True
Callon Petroleum Company,Callon Petroleum,CPE,NYSE,False
Ballard Power Systems Inc,Ballard Power Systems,BLDP,NASDAQ,True
Manchester United Ltd.,Manchester United,MANU,NYSE,False
"Novavax, Inc.",Novavax,NVAX,NASDAQ,True
"SmileDirectClub, Inc.",SmileDirectClub,SDC,NASDAQ,True
"Biocept, Inc.",Biocept,BIOC,NASDAQ,False
Intu Properties PLC,Intu Properties,INTU,London Stock Exchange,True
Persimmon PLC,Persimmon,PSN,London Stock Exchange,True
"Trade Desk, Inc.",Trade Desk,TTD,NASDAQ,True
Costco Wholesale Corporation,Costco,COST,NASDAQ,True
Glencore PLC,Glencore,GLEN,London Stock Exchange,True
Heineken NV,Heineken,HEIA,Netherlands,True
Royal Dutch Shell PLC - Class A,Royal Dutch Shell,R6C,Deutsche Börse Xetra,True
Banco Santander SA,Banco Santander,BNC,London Stock Exchange,True
Marston's PLC,Marston's,MARS,London Stock Exchange,True
Ted Baker PLC,Ted Baker,TED,London Stock Exchange,True
William Hill PLC,William Hill,WMH,London Stock Exchange,True
Barratt Developments PLC,Barratt Developments,BDEV,London Stock Exchange,True
TUI Group,TUI AG,TUI,London Stock Exchange,True
"DexCom, Inc.",DexCom,DXCM,NASDAQ,True
ITM Power PLC,ITM Power,ITM,London Stock Exchange,True
Moneysupermarket.com Group PLC,MoneySuperMarket,MONY,London Stock Exchange,True
"Roku, Inc.",Roku,ROKU,NASDAQ,True
The Medical Cannabis and Wellness UCITS ETF - Acc,The Medical Cannabis and Wellness ETF,,Deutsche Börse Xetra,True
Citigroup Inc.,Citigroup,C,NYSE,True
Nintendo Co Ltd.,Nintendo,NTO,Deutsche Börse Xetra,False
EOG Resources,EOG Resources,EOG,NYSE,False
Air France - KLM SA,Air France - KLM,AF,Euronext Paris,False
"Morgan Stanley, Inc.",Morgan Stanley,MS,NYSE,True
Adyen NV,Adyen NV,ADYEN,Netherlands,True
iShares European Property Yield UCITS ETF EUR (Dist),iShares European Property Yield,,London Stock Exchange,True
Kosmos Energy Ltd.,Kosmos Energy,KOS,NYSE,True
Realty Income Corporation,Realty Income,O,NYSE,True
Vanguard FTSE 250 UCITS ETF (GBP) Accumulating,Vanguard FTSE 250 GBP,VMIG,London Stock Exchange,False
Greatland Gold plc,Greatland Gold,GGP,London Stock Exchange,False
Invesco EQQQ NASDAQ-100 UCITS ETF,Invesco EQQQ NASDAQ-100 GBX,,London Stock Exchange,True
iShares Physical Gold ETC,iShares Physical Gold,IGLN,London Stock Exchange,False
Occidental Petroleum Corporation,Occidental Petroleum,OXY,NYSE,True
"Palo Alto Networks, Inc.",Palo Alto Networks,PANW,NYSE,False
"Qualcomm, Inc.",Qualcomm,QCOM,NASDAQ,True
"Teladoc, Inc.",Teladoc,TDOC,NYSE,True
Associated British Foods PLC,Associated British Foods,ABF,London Stock Exchange,True
"Zoetis, Inc.",Zoetis,ZTS,NYSE,True
"DocuSign, Inc.",DocuSign,DOCU,NASDAQ,False
Fraport AG Frankfurt Airport Services Worldwide,Fraport AG Frankfurt,FRA,Deutsche Börse Xetra,True
Halfords Group PLC,Halfords Group,HFD,London Stock Exchange,True
JD.com,JD.com,JD,NASDAQ,True
Philip Morris International Inc,Philip Morris,PM,NYSE,True
"Under Armour, Inc. Class A",Under Armour,UAA,NYSE,True
Autodesk Inc.,Autodesk,ADSK,NASDAQ,False
Aviva PLC,Aviva,AV,London Stock Exchange,True
Games Workshop Group PLC,Games Workshop Group,GAW,London Stock Exchange,True
Inditex SA,Inditex,ITX,Bolsa de Madrid,True
Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,Vanguard FTSE 100 GBP,VUKG,London Stock Exchange,False
First Solar Inc,First Solar,FSLR,NASDAQ,False
Imperial Brands PLC,Imperial Brands,IMB,London Stock Exchange,True
"Inovio Pharmaceuticals, Inc.",Inovio Pharmaceuticals,INO,NASDAQ,True
Lyft Inc.,Lyft,LYFT,NASDAQ,True
The Clorox Company,Clorox Company,CLX,NYSE,True
Volkswagen AG,Volkswagen,VOW,Deutsche Börse Xetra,True
Airbus SE,Airbus,AIR,Deutsche Börse Xetra,True
Bank of Montreal,Bank of Montreal,BMO,NYSE,True
Nokia Corporation ADR,Nokia ADR,NOK,NYSE,True
Novartis AG,Novartis,NOVN,SIX Swiss,False
Powerhouse Energy Group plc,Powerhouse Energy,PHE,London Stock Exchange,False
Gulf Keystone Petroleum Ltd,Gulf Keystone Petroleum,GKP,London Stock Exchange,True
MGM Resorts International,MGM Resorts,MGM,NYSE,False
Nestle SA,Nestle,NESN,SIX Swiss,False
Rio Tinto PLC,Rio Tinto,RIO,London Stock Exchange,True
United Parcel Service,United Parcel Service,UPS,NYSE,True
"Fastly, Inc.",Fastly,FSLY,NYSE,True
Ferrari N.V.,Ferrari,RACE,NYSE,False
Kinder Morgan,Kinder Morgan,KMI,NYSE,False
Oxford Instruments PLC,Oxford Instruments,OXIG,London Stock Exchange,False
Repsol SA,Repsol,REP,Bolsa de Madrid,True
"Royal Gold, Inc.",Royal Gold,RGLD,NASDAQ,False
"Anthem, Inc.",Anthem,ANTM,NYSE,True
"Avis Budget Group, Inc.",Avis Budget Group,CAR,NASDAQ,True
"Enphase Energy, Inc.",Enphase Energy,ENPH,NASDAQ,True
Zalando SE,Zalando,ZAL,Deutsche Börse Xetra,True
Borussia Dortmund GmbH & Co KGaA,Borussia Dortmund,BVB,Deutsche Börse Xetra,True
Chesapeake Energy,Chesapeake Energy,CHK,NYSE,True
Immunomedics Inc,Immunomedics,IMMU,NASDAQ,False
"Lakeland Industries, Inc.",Lakeland Industries,LAKE,NASDAQ,True
"Plug Power, Inc.",Plug Power,PLUG,NASDAQ,True
Sanofi SA,Sanofi,SAN,Euronext Paris,True
Wm Morrison Supermarkets PLC,Morrisons,MRW,London Stock Exchange,True
ConocoPhillips,ConocoPhillips,COP,NYSE,False
"CrowdStrike, Inc.",CrowdStrike,CRWD,NASDAQ,True
"Groupon, Inc.",Groupon,GRPN,NASDAQ,False
iShares Core MSCI World UCITS ETF USD Accumulating,iShares Core MSCI World EUR,,Deutsche Börse Xetra,False
Renault SA,Renault,RNO,Euronext Paris,True
Roche Holding AG Participation,Roche Holding,ROG,SIX Swiss,False
Scottish Mortgage Investment Trust plc,Scottish Mortgage Investment Trust,,London Stock Exchange,True
TripAdvisor,TripAdvisor,TRIP,NASDAQ,False
Gazprom PJSC,Gazprom,OGZD,London Stock Exchange,True
HSBC FTSE 100 UCITS ETF,HSBC FTSE 100,HUKX,London Stock Exchange,False
Kroger Co.,Kroger,KR,NYSE,True
Lockheed Martin Corporation,Lockheed Martin,LMT,NYSE,True
Royalty Pharma plc,Royalty Pharma,RPRX,NASDAQ,False
WH Smith PLC,WH Smith,SMWH,London Stock Exchange,True
Apache Corporation,Apache,APA,NYSE,False
Barrick Gold Corporation,Barrick Gold,GOLD,NYSE,True
Highland Gold Mining,Highland Gold Mining,HGM,London Stock Exchange,True
National Express Group PLC,National Express Group,NEX,London Stock Exchange,True
Southwest Airlines Co.,Southwest Airlines,LUV,NYSE,True
Travis Perkins PLC,Travis Perkins,TPK,London Stock Exchange,False
Wizz Air Holdings Plc,Wizz Air Holdings,WIZZ,London Stock Exchange,True
"Blue Apron Holdings, Inc.",Blue Apron Holdings,APRN,NYSE,True
Capita PLC,Capita,CPI,London Stock Exchange,True
ING Groep NV,ING Groep,INGA,Netherlands,True
ITV PLC,ITV PLC,ITV,London Stock Exchange,True
PIMCO Short-Term High Yield Corporate Bond Index Source UCITS ETF GBP (Hedged),PIMCO Short-Term High Yield Corporate Bond Index Source,,London Stock Exchange,True
