name,short_name,symbol,exchange,fractional
Occidental Petroleum Corporation,Occidental,,NYSE,True
Wm Morrison Supermarkets PLC,Morrisons,MRW,London Stock Exchange,True
First Solar Inc,First,FSLR,NASDAQ,False
Fraport AG Frankfurt Airport Services Worldwide,Fraport,,Deutsche Börse Xetra,True
iShares European Property Yield UCITS ETF EUR (Dist),iShares,,London Stock Exchange,True
"Roku, Inc.",Roku,ROKU,NASDAQ,True
The Medical Cannabis and Wellness UCITS ETF - Acc,The,,Deutsche Börse Xetra,True
Chesapeake Energy,Chesapeake,,NYSE,True
"Inovio Pharmaceuticals, Inc.",Inovio,,NASDAQ,True
BioNTech Se,BioNTech,BNTX,NASDAQ,True
Halfords Group PLC,Halfords,,London Stock Exchange,True
Kosmos Energy Ltd.,Kosmos,,NYSE,True
"Livongo Health, Inc.",Livongo,LVGO,NASDAQ,True
Lyft Inc.,Lyft,LYFT,NASDAQ,True
United Parcel Service,United,,NYSE,True
Vanguard FTSE 250 UCITS ETF (GBP) Accumulating,Vanguard,,London Stock Exchange,False
HSBC FTSE 100 UCITS ETF,HSBC,,London Stock Exchange,False
iShares Physical Gold ETC,iShares,,London Stock Exchange,False
Telefonica SA,Telefonica,TEF,Bolsa de Madrid,True
"Under Armour, Inc. Class A",Under,UAA,NYSE,True
Capita PLC,Capita,CPI,London Stock Exchange,True
National Express Group PLC,National,,London Stock Exchange,True
Novartis AG,Novartis,NOVN,SIX Swiss,False
"Trade Desk, Inc.",Trade,TTD,NASDAQ,True
Barrick Gold Corporation,Barrick,GOLD,NYSE,True
JD.com,JD.com,JD,NASDAQ,True
Kinder Morgan,Kinder,,NYSE,False
WH Smith PLC,WH,SMWH,London Stock Exchange,True
"Anthem, Inc.",Anthem,ANTM,NYSE,True
Gazprom PJSC,Gazprom,OGZD,London Stock Exchange,True
Highland Gold Mining,Highland,,London Stock Exchange,True
Immunomedics Inc,Immunomedics,,NASDAQ,False
iShares Dow Jones U.S. Select Dividend EUR UCITS ETF,iShares,,Deutsche Börse Xetra,False
Nokia Corporation ADR,Nokia,NOK,NYSE,True
TripAdvisor,TripAdvisor,TRIP,NASDAQ,False
Bank of Montreal,Bank,,NYSE,True
ITV PLC,ITV,ITV,London Stock Exchange,True
"Plug Power, Inc.",Plug,PLUG,NASDAQ,True
Wizz Air Holdings Plc,Wizz,,London Stock Exchange,True
Autodesk Inc.,Autodesk,ADSK,NASDAQ,False
"Avis Budget Group, Inc.",Avis,,NASDAQ,True
"DocuSign, Inc.",DocuSign,DOCU,NASDAQ,False
"Zoetis, Inc.",Zoetis,ZTS,NYSE,True
Iberdrola SA,Iberdrola,IBE,Bolsa de Madrid,True
"Lakeland Industries, Inc.",Lakeland,,NASDAQ,True
Powerhouse Energy Group plc,Powerhouse,,London Stock Exchange,False
Raytheon Technologies Corp.,Raytheon,,NYSE,True
Renault SA,Renault,RNO,Euronext Paris,True
"Royal Gold, Inc.",Royal,RGLD,NASDAQ,False
Ted Baker PLC,Ted,TED,London Stock Exchange,True
PIMCO Short-Term High Yield Corporate Bond Index Source UCITS ETF GBP (Hedged),PIMCO,,London Stock Exchange,True
"Teladoc, Inc.",Teladoc,TDOC,NYSE,True
Vanguard U.K. Gilt UCITS ETF,Vanguard,,London Stock Exchange,True
Burberry Group PLC,Burberry,,London Stock Exchange,True
Philip Morris International Inc,Philip,PM,NYSE,True
Rio Tinto PLC,Rio,RIO,London Stock Exchange,True
Roche Holding AG Participation,Roche,ROG,SIX Swiss,False
Dart Group PLC,Dart,DTG,London Stock Exchange,True
Lockheed Martin Corporation,Lockheed,,NYSE,True
Waste Management Inc.,Waste,,NYSE,True
"BioCryst Pharmaceuticals, Inc.",BioCryst,,NASDAQ,False
"Blue Apron Holdings, Inc.",Blue,,NYSE,True
Borussia Dortmund GmbH & Co KGaA,Borussia,,Deutsche Börse Xetra,True
Commerzbank AG,Commerzbank,CBK,Deutsche Börse Xetra,True
"Enphase Energy, Inc.",Enphase,,NASDAQ,True
Ferrari N.V.,Ferrari,RACE,NYSE,False
"Groupon, Inc.",Groupon,GRPN,NASDAQ,False
Hikma Pharmaceuticals PLC,Hikma,,London Stock Exchange,False
"Marriott International, Inc.",Marriott,,NASDAQ,True
Petra Diamonds Ltd,Petra,,London Stock Exchange,True
Scottish Mortgage Investment Trust plc,Scottish,,London Stock Exchange,True
Apache Corporation,Apache,APA,NYSE,False
ConocoPhillips,ConocoPhillips,COP,NYSE,False
"Fitbit, Inc.",Fitbit,FIT,NYSE,True
Hewlett-Packard Co,Hewlett-Packard,,NYSE,False
"MFA Financial, Inc.",MFA,MFA,NYSE,False
Nostrum Oil & Gas PLC,Nostrum,,London Stock Exchange,True
Restaurant Group PLC,Restaurant,,London Stock Exchange,True
Tencent Music Entertainment Group ADR,Tencent,,NYSE,False
Travis Perkins PLC,Travis,TPK,London Stock Exchange,False
Xtrackers S&P 500 2x Inverse Daily Swap UCITS ETF 1C,Xtrackers,,Deutsche Börse Xetra,True
Auto Trader Group PLC,Auto,,London Stock Exchange,False
B&M European Value Retail SA,B&M,,London Stock Exchange,True
Marathon Oil Corp.,Marathon,MRO,NYSE,False
Melia Hotels International SA,Melia,MEL,Bolsa de Madrid,True
Revolve Group LLC,Revolve,RVLV,NYSE,True
Bunzl PLC,Bunzl,BNZL,London Stock Exchange,False
Firstgroup PLC,Firstgroup,FGP,London Stock Exchange,False
FRASERS GROUP PLC,Frasers,FRAS,London Stock Exchange,False
"FuelCell Energy, Inc.",FuelCell,,NASDAQ,True
HSBC S&P 500 UCITS ETF,HSBC,,London Stock Exchange,False
"Invesco Mortgage Capital, Inc.",Invesco,,NYSE,False
iRobot Corporation,iRobot,IRBT,NASDAQ,True
iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE),iShares,,Deutsche Börse Xetra,True
Prudential PLC,Prudential,PRU,London Stock Exchange,True
Sage Group PLC/The,Sage,SGE,London Stock Exchange,False
WPP PLC,WPP,WPP,London Stock Exchange,True
Zalando SE,Zalando,ZAL,Deutsche Börse Xetra,True
Ashtead Group PLC,Ashtead,,London Stock Exchange,True
"Dell Technologies, Inc.",Dell,,NYSE,True
Gulf Keystone Petroleum Ltd,Gulf,,London Stock Exchange,True
ING Groep NV,ING,INGA,Netherlands,True
Kingfisher PLC,Kingfisher,KGF,London Stock Exchange,False
Lithium Americas Corp.,Lithium,,NYSE,True
Oxford Instruments PLC,Oxford,,London Stock Exchange,False
Royalty Pharma plc,Royalty,,NASDAQ,False
"Tyson Foods, Inc.",Tyson,TSN,NYSE,True
Ubisoft Entertainment SA,Ubisoft,UBI,Euronext Paris,True
Wayfair Inc,Wayfair,W,NYSE,False
Britvic PLC,Britvic,BVIC,London Stock Exchange,False
Mitchells & Butlers PLC,Mitchells,,London Stock Exchange,True
NRG Energy,NRG,NRG,NYSE,False
"Take-Two Interactive Software, Inc.",Take-Two,TTWO,NASDAQ,True
VEON Ltd.,VEON,VEON,NASDAQ,False
"Banco Bilbao Vizcaya Argentaria, S.A.",Banco,,Bolsa de Madrid,True
"Caterpillar, Inc.",Caterpillar,CAT,NYSE,True
Coca-Cola European Partners plc,Coca-Cola,,NYSE,False
Fiat Chrysler Automobiles N.V.,Fiat,,NYSE,False
Hexo Corp,Hexo,HEXO,NYSE,False
iShares Developed Markets Property Yield ETF USD Dist,iShares,,London Stock Exchange,True
Kroger Co.,Kroger,KR,NYSE,True
London Stock Exchange Group PLC,London,,London Stock Exchange,True
"Spirit Airlines, Inc.",Spirit,SAVE,NYSE,False
thyssenkrupp AG,thyssenkrupp,TKA,Deutsche Börse Xetra,True
VanEck Vectors Video Gaming and eSports UCITS ETF USD Accumulating,VanEck,,London Stock Exchange,True
WisdomTree Physical Silver ETC,WisdomTree,,London Stock Exchange,True
Admiral Group PLC,Admiral,ADM,London Stock Exchange,True
Airtel Africa PLC,Airtel,AAF,London Stock Exchange,True
"Altria Group, Inc.",Altria,MO,NYSE,True
Babcock International Group PLC,Babcock,,London Stock Exchange,False
Bristol-Myers Squibb,Bristol-Myers,,NYSE,True
Caixabank SA,Caixabank,CABK,Bolsa de Madrid,True
Compass Group PLC,Compass,,London Stock Exchange,True
De La Rue PLC,De,DLAR,London Stock Exchange,False
Evraz PLC,Evraz,EVR,London Stock Exchange,True
"Fastly, Inc.",Fastly,FSLY,NYSE,True
John Menzies PLC,John,MNZS,London Stock Exchange,True
Linde PLC,Linde,LIN,Deutsche Börse Xetra,False
Mylan Inc.,Mylan,MYL,NASDAQ,False
Siemens Gamesa Renewable Energy SA,Gamesa,SGRE,Bolsa de Madrid,False
"Vertex Pharmaceuticals, Inc.",Vertex,,NASDAQ,True
"Aaron's, Inc.",Aaron's,AAN,NYSE,True
Banco de Sabadell SA,Banco,,Bolsa de Madrid,True
"CrowdStrike, Inc.",CrowdStrike,CRWD,NASDAQ,True
Devon Energy Corp.,Devon,DVN,NYSE,False
Direct Line Insurance Group PLC,Direct,,London Stock Exchange,True
"Foot Locker, Inc.",Foot,FL,NYSE,True
Home Depot,Home,HD,NYSE,True
HUGO BOSS AG,HUGO,BOSS,Deutsche Börse Xetra,True
"Lululemon Athletica, Inc",Lululemon,,NASDAQ,True
Melrose Industries PLC,Melrose,,London Stock Exchange,True
MTU Aero Engines AG,MTU,,Deutsche Börse Xetra,True
Pets at Home Group Plc,Pets,,London Stock Exchange,True
Peugeot SA,Peugeot,UG,Euronext Paris,True
RWE AG,RWE,RWE,Deutsche Börse Xetra,False
Severn Trent PLC,Severn,SVT,London Stock Exchange,True
Simon Property Group Inc.,Simon,,NYSE,True
Takeaway.com Holding BV,Takeaway.com,,Netherlands,True
The Clorox Company,Clorox,,NYSE,True
AA PLC,AA,AA,London Stock Exchange,True
Aena SME SA,Aena,AENA,Bolsa de Madrid,False
AstraZeneca plc ADR,AstraZeneca,AZN,NYSE,False
Coca-Cola HBC AG,Coca-Cola,,London Stock Exchange,True
FDM Group Holdings PLC,FDM,,London Stock Exchange,False
Garena,Sea,SE,NYSE,True
Reckitt Benckiser Group PLC,Reckitt,,London Stock Exchange,True
Stobart Group Ltd,Stobart,STOB,London Stock Exchange,True
Telefonaktiebolaget LM Ericsson ADR,Ericsson,ERIC,NASDAQ,True
Toyota Motor Corporation ADR,Toyota,,NYSE,False
AMS AG,ams,AMS,SIX Swiss,False
AXA SA,AXA,CS,Euronext Paris,True
Best of the Best PLC,Best,,London Stock Exchange,False
"BlackRock, Inc.",BlackRock,BLK,NYSE,True
Credit Suisse Group AG,Credit,CSGN,SIX Swiss,False
"Datadog, Inc.",Datadog,DDOG,NASDAQ,True
DraftKings Inc.,DraftKings,DKNG,NASDAQ,True
GoPro Inc,GoPro,GPRO,NASDAQ,True
Invesco S&P 500 High Dividend Low Volatility GBX UCITS ETF Distributing,Invesco,,London Stock Exchange,True
iShares Electric Vehicles and Driving Technology UCITS ETF USD (Acc),iShares,,London Stock Exchange,False
Kier Group PLC,Kier,KIE,London Stock Exchange,True
Liberty Global Plc Class A,Liberty,,NASDAQ,False
Macerich,Macerich,MAC,NYSE,False
Meggitt PLC,Meggitt,MGGT,London Stock Exchange,True
Merck KGaA,Merck,MRK,Deutsche Börse Xetra,False
"Park Hotels & Resorts, Inc.",Park,,NYSE,True
Pharming Group NV,Pharming,,Netherlands,True
Redrow PLC,Redrow,RDW,London Stock Exchange,True
Smith & Nephew PLC,Smith,,London Stock Exchange,False
Tiffany & Co.,Tiffany,TIF,NYSE,False
Trainline plc,Trainline,TRN,London Stock Exchange,False
Twilio Inc.,Twilio,TWLO,NYSE,True
Xetra-Gold ETF,Xetra-Gold,4GLD,Deutsche Börse Xetra,True
"Alteryx, Inc.",Alteryx,AYX,NYSE,True
"Arcimoto, Inc.",Arcimoto,FUV,NASDAQ,False
Bayerische Motoren Werke AG - Preferred stock,BMW,,Deutsche Börse Xetra,True
Deka DAX,Deka,ETFDAX,Deutsche Börse Xetra,False
Delivery Hero AG,Delivery,DHER,Deutsche Börse Xetra,False
Experian PLC,Experian,EXPN,London Stock Exchange,True
"Fortinet, Inc.",Fortinet,FTNT,NASDAQ,False
Gold Bullion Securities Ltd,Gold,GBSS,London Stock Exchange,False
Greencoat UK Wind PLC/Funds,Greencoat,,London Stock Exchange,True
Hilton Worldwide Holdings Inc.,Hilton,,NYSE,False
Infineon Technologies AG,Infineon,,Deutsche Börse Xetra,True
InterContinental Hotels Group PLC,InterContinental,,London Stock Exchange,True
Investec PLC,Investec,INVP,London Stock Exchange,True
JetBlue Airways Corporation,JetBlue,,NASDAQ,False
Lyxor EURO STOXX 50 Daily (-2x) Inverse UCITS ETF - Acc,Lyxor,,Deutsche Börse Xetra,False
NewRiver REIT PLC,NewRiver,,London Stock Exchange,False
Softcat PLC,Softcat,SCT,London Stock Exchange,True
Sysco Corp.,Sysco,SYY,NYSE,True
Taiwan Semiconductor Manufacturing ADR,Taiwan,,NYSE,True
TeamViewer AG,TeamViewer,TMV,Deutsche Börse Xetra,True
Vanguard Global Aggregate Bond UCITS ETF,Vanguard,,London Stock Exchange,True
Baidu Class A,Baidu,BIDU,NASDAQ,True
"Booking Holdings, Inc.",Booking,,NASDAQ,True
"Co-Diagnostics, Inc.","Co-Diagnostics
CODX",,NASDAQ,False
Dollar Tree,Dollar,DLTR,NASDAQ,False
Dow Inc.,Dow,DOW,NYSE,True
"Genprex, Inc.",Genprex,GNPX,NASDAQ,False
"Grubhub, Inc.",Grubhub,GRUB,NYSE,False
HomeServe PLC,HomeServe,HSV,London Stock Exchange,False
Illumina Inc,Illumina,ILMN,NASDAQ,False
Invesco PowerShares Source Physical Gold ETC (P-ETC),Invesco,,London Stock Exchange,False
Lookers PLC,Lookers,LOOK,London Stock Exchange,True
